week,new_signups,avg_hours_per_user,share_drama,share_comedy,share_action,share_documentary
2020-01-20,1186,8.58,0.3141,0.2686,0.2681,0.1492
2020-01-27,1202,8.95,0.3209,0.2788,0.2504,0.1499
2020-02-03,1306,8.76,0.3399,0.2754,0.2408,0.1439
2020-02-10,1261,9.07,0.3111,0.2877,0.2581,0.1431
2020-02-17,1234,9.4,0.3169,0.2844,0.2679,0.1308
2020-02-24,1149,8.71,0.3257,0.2727,0.2595,0.142
2020-03-02,1076,9.06,0.3213,0.2709,0.2449,0.1629
2020-03-09,1285,8.87,0.3328,0.2821,0.2477,0.1374
2020-03-16,2387,12.31,0.2782,0.3313,0.2103,0.1801
2020-03-23,2088,11.38,0.2756,0.3234,0.2143,0.1867
2020-03-30,1986,11.19,0.3016,0.3156,0.2112,0.1716
2020-04-06,1874,10.97,0.2934,0.3146,0.2265,0.1655
2020-04-13,1769,11.05,0.2992,0.3081,0.2267,0.166
2020-04-20,1688,10.87,0.2987,0.3052,0.2312,0.1649
2020-04-27,1490,9.77,0.3056,0.3062,0.2221,0.1661
2020-05-04,1608,9.75,0.3031,0.3065,0.2393,0.1511
2020-05-11,1310,10.06,0.3069,0.3004,0.2347,0.1581
2020-05-18,1459,8.97,0.3094,0.2935,0.239,0.1581
2020-05-25,1393,9.34,0.3111,0.2864,0.2418,0.1607
2020-06-01,1401,9.32,0.313,0.2931,0.2477,0.1462
2020-06-08,1469,9.65,0.3113,0.2899,0.2407,0.158
2020-06-15,1415,9.32,0.3065,0.2874,0.2469,0.1592
2020-06-22,1164,8.84,0.3137,0.2757,0.2466,0.164
2020-06-29,1103,8.71,0.3203,0.2881,0.2302,0.1613
2020-07-06,1468,9.33,0.3288,0.2679,0.2609,0.1424
2020-07-13,1295,9.85,0.3122,0.2772,0.2623,0.1483
2020-07-20,1379,9.07,0.3134,0.286,0.2556,0.1451
2020-07-27,1450,9.02,0.3226,0.2738,0.248,0.1556
2020-08-03,1222,9.16,0.3213,0.2793,0.2565,0.143
2020-08-10,1177,8.91,0.3137,0.2806,0.25,0.1557
2020-08-17,1387,8.81,0.3246,0.2788,0.254,0.1426
2020-08-24,1365,8.43,0.3089,0.2865,0.2512,0.1535
2020-08-31,1337,8.76,0.3153,0.2851,0.2523,0.1472
2020-09-07,1361,8.56,0.3052,0.2803,0.2599,0.1547
2020-09-14,1279,9.09,0.3219,0.2859,0.2615,0.1307
2020-09-21,1219,8.88,0.312,0.2781,0.2499,0.16
2020-09-28,1339,8.63,0.3225,0.2769,0.2474,0.1532
2020-10-05,1266,8.86,0.31,0.2747,0.2526,0.1627
2020-10-12,1205,8.51,0.3154,0.2767,0.2489,0.159
2020-10-19,1398,9.0,0.319,0.2911,0.2417,0.1482
2020-10-26,1346,8.65,0.3181,0.286,0.2581,0.1378
2020-11-02,1388,8.89,0.3197,0.2891,0.2503,0.1409
2020-11-09,1262,8.27,0.3243,0.2805,0.2508,0.1444
2020-11-16,1292,8.88,0.3257,0.2759,0.2568,0.1416
2020-11-23,1261,8.22,0.3149,0.2832,0.2457,0.1562
2020-11-30,1271,8.15,0.3245,0.2747,0.2525,0.1483
2020-12-07,1368,8.82,0.3246,0.2726,0.2444,0.1584
2020-12-14,1280,8.68,0.3261,0.2857,0.2418,0.1465
2020-12-21,1382,9.12,0.3308,0.2778,0.2411,0.1503
2020-12-28,1381,9.92,0.3328,0.2812,0.2436,0.1424
2021-01-04,1533,8.91,0.3254,0.274,0.2489,0.1517
2021-01-11,1225,9.06,0.3252,0.2776,0.2542,0.143
2021-01-18,1430,9.42,0.3178,0.2724,0.2596,0.1501
2021-01-25,1342,9.59,0.3156,0.2785,0.2494,0.1564
2021-02-01,1349,9.42,0.3084,0.2727,0.2479,0.1709
2021-02-08,1220,9.47,0.3184,0.2713,0.2485,0.1618
2021-02-15,1309,9.84,0.3153,0.2746,0.2574,0.1526
2021-02-22,1417,9.83,0.3158,0.2678,0.2576,0.1589
2021-03-01,1343,9.33,0.3249,0.2858,0.234,0.1553
2021-03-08,1357,9.7,0.317,0.2822,0.2543,0.1466
2021-03-15,1324,9.77,0.3125,0.2885,0.2488,0.1502
2021-03-22,1454,9.41,0.3204,0.2819,0.2354,0.1624
2021-03-29,1348,9.89,0.3136,0.2813,0.2589,0.1462
2021-04-05,1152,9.5,0.3167,0.2828,0.2491,0.1513
2021-04-12,1288,10.14,0.3288,0.2707,0.2591,0.1414
2021-04-19,1173,9.85,0.3229,0.2796,0.2479,0.1497
2021-04-26,1057,9.79,0.3231,0.2816,0.2421,0.1533
2021-05-03,1302,9.52,0.3198,0.2826,0.2489,0.1487
2021-05-10,1470,9.65,0.313,0.2901,0.2483,0.1487
2021-05-17,1354,8.95,0.3195,0.2824,0.2479,0.1502
2021-05-24,1244,9.2,0.3095,0.2754,0.2666,0.1485
2021-05-31,1265,9.67,0.3184,0.2845,0.2559,0.1412
2021-06-07,1452,8.73,0.3156,0.2848,0.25,0.1497
2021-06-14,1364,9.71,0.3313,0.2736,0.2498,0.1453
2021-06-21,1354,8.73,0.3364,0.2679,0.2479,0.1477
2021-06-28,1345,9.54,0.3225,0.2824,0.2589,0.1362
